t_history	r_history	delta_ts	ys
0,3,5,10,23,57,1,4,13,17,38,1,3,6,12,28,55,114	4,3,3,3,3,1,3,4,2,3,1,3,3,3,3,3,3,3	3,5,10,23,57,1,4,13,17,38,1,3,6,12,28,55,114,230	1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1
0,5,13,29,69,1,2,4,8,16,40,92	4,3,3,3,1,3,3,3,3,3,3,3	5,13,29,69,1,2,4,8,16,40,92,208	1,1,1,0,1,1,1,1,1,1,1,1
0,4,5,11,26,58,141	4,2,3,3,3,3,3	4,5,11,26,58,141,343	1,1,1,1,1,1,1
0,7,47,43,170,1,4,18	4,3,2,3,1,3,4,3	7,47,43,170,1,4,18,58	1,1,1,0,1,1,1,1
0,4,10,25,58,142	4,3,3,3,3,3	4,10,25,58,142,362	1,1,1,1,1,1
0,5,4,5,9,11,24,48,101	4,2,2,3,2,3,3,3,3	5,4,5,9,11,24,48,101,209	1,1,1,1,1,1,1,1,1
0,5,5,12,26,62,144	4,2,3,3,3,3,3	5,5,12,26,62,144,344	1,1,1,1,1,1,1
0,3,6,15,37,91	4,3,3,3,3,4	3,6,15,37,91,293	1,1,1,1,1,1
0,4,5,11,23,50,57,124	4,2,3,3,3,2,3,3	4,5,11,23,50,57,124,261	1,1,1,1,1,1,1,1
0,5,10,23,54,62	4,3,3,3,2,4	5,10,23,54,62,193	1,1,1,1,1,1
0,4,1,2,5,6,2,2,3,5,11,18,32,38,65,117	4,1,3,3,2,1,3,3,3,3,3,3,2,3,3,3	4,1,2,5,6,2,2,3,5,11,18,32,38,65,117,207	0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
0,3,5,13,34,87	4,3,3,3,3,3	3,5,13,34,87,227	1,1,1,1,1,1
0,3,8,9,16,39,42,50,103	4,3,2,3,3,2,2,3,3	3,8,9,16,39,42,50,103,209	1,1,1,1,1,1,1,1,1
0,4,10,26,64,166	4,3,3,3,3,3	4,10,26,64,166,426	1,1,1,1,1,1
0,3,9,17,44,109	4,3,3,3,3,3	3,9,17,44,109,260	1,1,1,1,1,1
0,4,9,32,38,96	4,3,4,2,3,3	4,9,32,38,96,251	1,1,1,1,1,1
0,3,7,17,42,49,116,1,3,6,13,24,50	1,3,3,3,2,3,1,3,3,3,3,3,3	3,7,17,42,49,116,1,3,6,13,24,50,109	1,1,1,1,1,0,1,1,1,1,1,1,1
0,5,13,35,1,2,5,11,12,12,23,42,88	4,3,3,1,3,3,3,2,2,3,3,3,3	5,13,35,1,2,5,11,12,12,23,42,88,179	1,1,0,1,1,1,1,1,1,1,1,1,1
0,5,7,14,33,75,177,429,1,3,8,15	4,2,3,3,3,3,3,1,3,3,3,3	5,7,14,33,75,177,429,1,3,8,15,35	1,1,1,1,1,1,0,1,1,1,1,1
0,1,2,6,15,1,2,4,11,26,1,3,5,7,9,8,10,12,17,1,3,5,7,8,11,16,22,30,40,50,62,78,63,99	1,3,3,3,1,3,3,3,3,1,2,2,2,2,2,3,3,3,1,3,3,3,2,3,3,3,3,3,3,3,3,2,3,3	1,2,6,15,1,2,4,11,26,1,3,5,7,9,8,10,12,17,1,3,5,7,8,11,16,22,30,40,50,62,78,63,99,126	1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,3,9,25,1,2,4,9,18,22,51,106	3,3,3,1,3,3,3,3,2,3,3,3	3,9,25,1,2,4,9,18,22,51,106,224	1,1,0,1,1,1,1,1,1,1,1,1
0,3,9,24,61,1,4,9,8,16,18,39,81	4,3,3,3,1,3,3,2,3,2,3,3,3	3,9,24,61,1,4,9,8,16,18,39,81,164	1,1,1,0,1,1,1,1,1,1,1,1,1
0,4,5,9,24,56,128,289	4,2,3,3,3,3,3,2	4,5,9,24,56,128,289,251	1,1,1,1,1,1,1,1
0,5,12,33,82,199,1,1,3,8,13,30,60	4,3,3,3,3,1,1,3,3,3,3,3,3	5,12,33,82,199,1,1,3,8,13,30,60,252	1,1,1,1,0,0,1,1,1,1,1,1,1
0,5,8,9,18,44,51,111,252,25,19,45,86	4,3,2,3,3,2,3,3,1,2,3,3,3	5,8,9,18,44,51,111,252,25,19,45,86,162	1,1,1,1,1,1,1,0,1,1,1,1,1
0,3,6,17,46,57,128	4,3,3,3,2,3,3	3,6,17,46,57,128,304	1,1,1,1,1,1,1
0,5,15,36,93	4,4,3,3,4	5,15,36,93,306	1,1,1,1,1
0,6,13,33,84,200	4,3,3,3,3,3	6,13,33,84,200,519	1,1,1,1,1,1
0,5,14,15,1,3,7,16,35,1,3,4,9,1,3,6,1,2,4,6,10,15,1,3,5,8,10,14,19,27,1,3,5,7,9,11,16,22,29,39,45,116,1,3,5,9,13,17,24,31,41,56	4,3,2,1,3,3,3,3,1,3,3,3,1,3,3,1,2,3,3,3,3,1,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,2,3,1,3,3,3,3,3,3,3,3,3,3	5,14,15,1,3,7,16,35,1,3,4,9,1,3,6,1,2,4,6,10,15,1,3,5,8,10,14,19,27,1,3,5,7,9,11,16,22,29,39,45,116,1,3,5,9,13,17,24,31,41,56,72	1,1,0,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
0,6,10,28,66,168	4,3,3,3,3,3	6,10,28,66,168,433	1,1,1,1,1,1
0,4,12,29,68,173,1,3,5,11,27,58	4,3,3,3,3,1,3,3,3,3,3,3	4,12,29,68,173,1,3,5,11,27,58,129	1,1,1,1,0,1,1,1,1,1,1,1
0,4,10,24,60,148	4,3,3,3,3,3	4,10,24,60,148,372	1,1,1,1,1,1
0,3,7,17,45,53,124,1,3,7,15,33,71,85	3,3,3,3,2,3,1,3,3,3,3,3,2,3	3,7,17,45,53,124,1,3,7,15,33,71,85,347	1,1,1,1,1,0,1,1,1,1,1,1,1,1
0,3,11,30,83	4,4,3,3,3	3,11,30,83,220	1,1,1,1,1
0,3,1,4,6,13,31,1,2,5,7,8,8,11,12,16,23,31,37,67,100,143	1,1,3,2,3,3,1,3,3,2,2,2,2,3,3,3,3,3,4,3,3,3	3,1,4,6,13,31,1,2,5,7,8,8,11,12,16,23,31,37,67,100,143,269	0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,5,7,16,1,3,5,10,24,28,58,1,3,5,11,19,1,2,4,6,10,15,22,33,49,71	4,2,3,1,3,3,3,3,2,3,1,3,3,3,3,1,2,3,3,3,3,3,3,3,3,3	5,7,16,1,3,5,10,24,28,58,1,3,5,11,19,1,2,4,6,10,15,22,33,49,71,197	1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
0,3,7,16,42,46,51,109	1,3,3,3,2,2,3,3	3,7,16,42,46,51,109,237	1,1,1,1,1,1,1,1
0,1,3,8,20,43,51,111,1,3,6,11,22,25,46,85	1,2,3,3,3,2,3,1,3,3,3,3,2,3,3,3	1,3,8,20,43,51,111,1,3,6,11,22,25,46,85,321	1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
0,3,5,1,1,4,10,26,63,147	4,3,1,4,3,3,3,3,3,3	3,5,1,1,4,10,26,63,147,331	1,0,1,1,1,1,1,1,1,1
0,5,18,48,54,136,350,4,5,8,20	4,4,3,2,3,3,1,3,3,4,4	5,18,48,54,136,350,4,5,8,20,63	1,1,1,1,1,0,1,1,1,1,1
0,1,3,1,1,2,5,11,26,54,117,253	1,2,1,4,3,3,3,3,3,3,3,2	1,3,1,1,2,5,11,26,54,117,253,205	1,0,1,1,1,1,1,1,1,1,1,1
0,1,1,2,3,5,10,21,49,113	1,1,3,3,3,3,3,3,3,3	1,1,2,3,5,10,21,49,113,250	0,1,1,1,1,1,1,1,1,1
0,1,3,5,13,34,94,258	3,4,3,3,3,3,3,2	1,3,5,13,34,94,258,349	1,1,1,1,1,1,1,1
0,5,10,27,67,159,385,1,4,12,27	4,3,3,3,3,3,1,4,3,3,3	5,10,27,67,159,385,1,4,12,27,64	1,1,1,1,1,0,1,1,1,1,1
0,3,8,22,57,70,163,1,3,7,14,34,74,7,27,24,49,91	4,3,3,3,2,3,1,3,3,3,3,3,1,3,2,3,3,3	3,8,22,57,70,163,1,3,7,14,34,74,7,27,24,49,91,158	1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1
0,5,13,34,81,201	4,3,3,3,3,3	5,13,34,81,201,509	1,1,1,1,1,1
0,1,2,4,6,6,11,19,37,41,79,1,1,3,5,8,14,18,29,46,66,159,1,3,6,9,13,21,22,24,33,42	3,2,3,2,2,3,3,3,2,3,1,1,3,3,3,3,3,3,3,3,2,1,3,3,3,3,3,3,3,3,3,4	1,2,4,6,6,11,19,37,41,79,1,1,3,5,8,14,18,29,46,66,159,1,3,6,9,13,21,22,24,33,42,72	1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
0,1,3,1,4,10,25,56,128,1,3,7,12,26,52	1,4,1,3,3,3,3,3,1,3,3,3,3,3,3	1,3,1,4,10,25,56,128,1,3,7,12,26,52,109	1,0,1,1,1,1,1,0,1,1,1,1,1,1,1
0,1,4,12,1,4,8,20,1,3,7,10,10,14,22,38,60,102,168	1,4,3,1,3,3,3,1,3,3,2,2,2,3,3,3,3,3,3	1,4,12,1,4,8,20,1,3,7,10,10,14,22,38,60,102,168,320	1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
0,4,12,27,68,165	4,3,3,3,3,3	4,12,27,68,165,425	1,1,1,1,1,1
0,2,4,12,32,80,192	4,3,3,3,3,3,3	2,4,12,32,80,192,471	1,1,1,1,1,1,1
0,3,7,16,41,50,122	4,3,3,3,2,3,3	3,7,16,41,50,122,276	1,1,1,1,1,1,1
0,3,6,16,38,43,99	4,3,3,3,2,3,3	3,6,16,38,43,99,233	1,1,1,1,1,1,1
0,2,4,8,17,43,55,129	4,3,3,3,3,2,3,3	2,4,8,17,43,55,129,314	1,1,1,1,1,1,1,1
0,3,8,19,46,51,122	4,3,3,3,2,3,3	3,8,19,46,51,122,298	1,1,1,1,1,1,1
0,2,6,13,29,69,165	4,3,3,3,3,3,3	2,6,13,29,69,165,404	1,1,1,1,1,1,1
0,4,7,19,51,130	4,3,3,3,3,3	4,7,19,51,130,318	1,1,1,1,1,1
0,4,7,15,39,44,140	4,3,3,3,2,4,3	4,7,15,39,44,140,352	1,1,1,1,1,1,1
0,1,1,1,2,4,7,7,17,33,40,79,165	3,3,3,3,2,3,2,3,3,2,3,3,3	1,1,1,2,4,7,7,17,33,40,79,165,334	1,1,1,1,1,1,1,1,1,1,1,1,1
0,2,6,16,37,46,107	3,3,3,3,2,3,3	2,6,16,37,46,107,247	1,1,1,1,1,1,1
0,4,7,19,51,131	4,3,3,3,3,3	4,7,19,51,131,316	1,1,1,1,1,1
0,4,3,5,9,24,30,70,160	4,2,3,3,3,2,3,3,3	4,3,5,9,24,30,70,160,369	1,1,1,1,1,1,1,1,1
0,4,2,2,4,10,20,41,49,95	4,1,3,2,3,3,3,2,3,3	4,2,2,4,10,20,41,49,95,183	0,1,1,1,1,1,1,1,1,1
0,1,1,2,6,14,35,39,1,4,6,10,18,37,81,1,3,5,8,9,15,26,49,1,3,5,9,26,83,8,13,23,1,3,5,8,12,15,20,24,29,2,4,5,7,11,14,19,24,31	3,1,3,3,3,3,2,1,3,3,3,3,3,3,1,3,3,3,2,3,3,3,1,3,3,3,3,3,1,3,3,1,3,3,3,3,3,3,2,3,1,3,3,3,3,3,3,3,3,3	1,1,2,6,14,35,39,1,4,6,10,18,37,81,1,3,5,8,9,15,26,49,1,3,5,9,26,83,8,13,23,1,3,5,8,12,15,20,24,29,2,4,5,7,11,14,19,24,31,40	0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
0,3,7,19,49,54,168	4,3,3,3,2,4,3	3,7,19,49,54,168,418	1,1,1,1,1,1,1
0,2,4,10,23,59,141	4,3,3,3,3,3,3	2,4,10,23,59,141,348	1,1,1,1,1,1,1
0,4,12,26,67,168	4,3,3,3,3,3	4,12,26,67,168,420	1,1,1,1,1,1
0,4,5,13,34,79,194	4,3,3,3,3,3,3	4,5,13,34,79,194,488	1,1,1,1,1,1,1
0,4,8,23,57,138,1,4,8,21,53	4,3,3,3,3,1,4,3,3,3,3	4,8,23,57,138,1,4,8,21,53,125	1,1,1,1,0,1,1,1,1,1,1
0,2,4,11,23,56,146	4,3,3,3,3,3,3	2,4,11,23,56,146,360	1,1,1,1,1,1,1
0,4,8,18,43,52,119	4,3,3,3,2,3,3	4,8,18,43,52,119,284	1,1,1,1,1,1,1
0,1,1,1,3,9,23,58,147	3,3,3,3,3,3,3,3,3	1,1,1,3,9,23,58,147,378	1,1,1,1,1,1,1,1,1
0,4,6,14,36,47,53,111	4,3,3,3,2,2,3,3	4,6,14,36,47,53,111,248	1,1,1,1,1,1,1,1
0,2,5,10,27,68,165	4,3,3,3,3,3,3	2,5,10,27,68,165,420	1,1,1,1,1,1,1
0,4,8,17,42,48,116	4,3,3,3,2,3,3	4,8,17,42,48,116,264	1,1,1,1,1,1,1
0,3,9,22,56,1,2,5,10,1,3,6,12,13,28,53,1,3,6,10,22,41,74,140,14,17,28,44,72	4,3,3,3,1,3,3,3,1,3,3,3,2,3,3,1,3,3,3,4,3,3,3,1,2,3,3,3,3	3,9,22,56,1,2,5,10,1,3,6,12,13,28,53,1,3,6,10,22,41,74,140,14,17,28,44,72,114	1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
0,4,10,27,71,180,457,2,4,7,15	4,3,3,3,3,3,1,3,3,3,3	4,10,27,71,180,457,2,4,7,15,31	1,1,1,1,1,0,1,1,1,1,1
0,4,10,27,64,165	4,3,3,3,3,3	4,10,27,64,165,413	1,1,1,1,1,1
0,3,7,17,45,116	4,3,3,3,3,3	3,7,17,45,116,293	1,1,1,1,1,1
0,3,8,17,39,50,119	3,3,3,3,2,3,3	3,8,17,39,50,119,270	1,1,1,1,1,1,1
0,1,1,4,11,26,29,67,160	3,3,3,3,3,2,3,3,3	1,1,4,11,26,29,67,160,361	1,1,1,1,1,1,1,1,1
0,4,8,21,48,121	4,3,3,3,3,3	4,8,21,48,121,294	1,1,1,1,1,1
0,3,4,7,16,37,87	4,2,3,3,3,3,3	3,4,7,16,37,87,208	1,1,1,1,1,1,1
0,4,6,9,19,20,43,86	4,2,2,3,2,3,3,3	4,6,9,19,20,43,86,178	1,1,1,1,1,1,1,1
0,3,7,18,45,57,128	4,3,3,3,2,3,3	3,7,18,45,57,128,285	1,1,1,1,1,1,1
0,3,6,14,18,18,41,92	4,3,3,2,2,3,3,3	3,6,14,18,18,41,92,211	1,1,1,1,1,1,1,1
0,4,11,11,24,25,52,119	4,3,2,3,2,3,3,3	4,11,11,24,25,52,119,261	1,1,1,1,1,1,1,1
0,4,4,10,21,26,57,124	4,2,3,3,2,3,3,3	4,4,10,21,26,57,124,276	1,1,1,1,1,1,1,1
0,4,10,28,29,51,97	4,3,3,2,3,3,3	4,10,28,29,51,97,219	1,1,1,1,1,1,1
0,4,12,27,30,53,97	4,3,3,2,3,3,3	4,12,27,30,53,97,226	1,1,1,1,1,1,1
0,2,6,13,33,38,79	4,4,3,3,2,3,3	2,6,13,33,38,79,190	1,1,1,1,1,1,1
0,4,9,25,62,126	4,3,3,3,3,3	4,9,25,62,126,308	1,1,1,1,1,1
0,3,6,15,37,76,147	4,3,3,3,3,3,3	3,6,15,37,76,147,356	1,1,1,1,1,1,1
0,4,10,24,59,120	4,3,3,3,3,3	4,10,24,59,120,310	1,1,1,1,1,1
0,3,9,22,25,42,80	4,3,3,2,3,3,3	3,9,22,25,42,80,197	1,1,1,1,1,1,1
0,2,5,17,51,112	4,4,4,3,3,3	2,5,17,51,112,328	1,1,1,1,1,1
0,3,5,13,32,33,64,150	4,3,3,3,2,3,3,3	3,5,13,32,33,64,150,364	1,1,1,1,1,1,1,1
0,3,8,20,49,101	4,3,3,3,3,3	3,8,20,49,101,257	1,1,1,1,1,1
0,2,7,17,47,99	4,4,3,3,3,3	2,7,17,47,99,269	1,1,1,1,1,1
0,4,12,31,39,76,185	4,3,3,2,3,3,3	4,12,31,39,76,185,433	1,1,1,1,1,1,1
0,3,7,18,49,100	4,3,3,3,3,3	3,7,18,49,100,262	1,1,1,1,1,1
0,3,5,12,28,32,56,101	4,3,3,3,2,3,3,3	3,5,12,28,32,56,101,228	1,1,1,1,1,1,1,1
0,3,5,14,33,68,141	4,3,3,3,3,3,3	3,5,14,33,68,141,336	1,1,1,1,1,1,1
0,2,4,10,25,28,51,93	4,3,3,3,2,3,3,3	2,4,10,25,28,51,93,220	1,1,1,1,1,1,1,1
0,4,8,21,23,45,87	4,3,3,2,3,3,3	4,8,21,23,45,87,198	1,1,1,1,1,1,1
0,2,6,17,39,81	4,3,3,3,3,3	2,6,17,39,81,197	1,1,1,1,1,1
0,2,4,9,25,65,136	4,3,3,3,3,3,3	2,4,9,25,65,136,344	1,1,1,1,1,1,1
0,2,5,12,28,31,60,111	4,3,3,3,2,3,3,3	2,5,12,28,31,60,111,271	1,1,1,1,1,1,1,1
0,4,10,28,36,69,159	4,3,3,2,3,3,3	4,10,28,36,69,159,361	1,1,1,1,1,1,1
0,3,9,20,27,51,99,241	4,3,3,2,3,3,3,2	3,9,20,27,51,99,241,327	1,1,1,1,1,1,1,1
0,3,8,22,25,46,80	4,3,3,2,3,3,3	3,8,22,25,46,80,191	1,1,1,1,1,1,1
0,3,7,17,43,87	4,3,3,3,3,3	3,7,17,43,87,224	1,1,1,1,1,1
0,2,4,9,20,26,29,52,90	4,3,3,3,2,2,3,3,4	2,4,9,20,26,29,52,90,255	1,1,1,1,1,1,1,1,1
0,3,9,23,54,108	4,3,3,3,3,3	3,9,23,54,108,265	1,1,1,1,1,1
0,3,8,18,47,118	4,3,3,3,4,3	3,8,18,47,118,310	1,1,1,1,1,1
0,2,6,13,28,25,49,91	4,3,3,3,2,3,3,3	2,6,13,28,25,49,91,205	1,1,1,1,1,1,1,1
0,3,8,19,48,96	4,3,3,3,3,3	3,8,19,48,96,233	1,1,1,1,1,1
0,4,8,18,46,94	4,3,3,3,3,3	4,8,18,46,94,241	1,1,1,1,1,1
0,4,12,33,30,58,114	4,3,3,2,3,3,3	4,12,33,30,58,114,276	1,1,1,1,1,1,1
0,3,7,21,25,52,102	4,3,4,2,3,3,3	3,7,21,25,52,102,247	1,1,1,1,1,1,1
0,2,5,7,16,36,71,72	3,3,2,3,3,3,2,3	2,5,7,16,36,71,72,161	1,1,1,1,1,1,1,1
0,4,10,26,33,61,115	4,3,3,2,3,3,3	4,10,26,33,61,115,275	1,1,1,1,1,1,1
0,2,6,15,35,69,143	4,3,3,3,3,3,3	2,6,15,35,69,143,365	1,1,1,1,1,1,1
0,3,8,18,39,80,191	4,3,3,3,3,3,3	3,8,18,39,80,191,457	1,1,1,1,1,1,1
0,3,6,16,44,89	4,3,3,3,3,3	3,6,16,44,89,224	1,1,1,1,1,1
0,3,7,15,41,82,196	4,3,3,3,3,3,3	3,7,15,41,82,196,473	1,1,1,1,1,1,1
0,2,5,13,35,66,134	4,3,3,3,3,3,3	2,5,13,35,66,134,333	1,1,1,1,1,1,1
0,5,13,28,31,1,3,5,9,20,39,86,193	4,3,3,2,1,3,3,3,3,3,3,3,2	5,13,28,31,1,3,5,9,20,39,86,193,160	1,1,1,0,1,1,1,1,1,1,1,1,1
0,1,4,8,1,3,6,12,15,29,38,75,150,294,1,3,6,8,16,25,43	1,3,3,1,3,3,3,3,3,2,3,3,3,1,3,3,3,3,3,3,3	1,4,8,1,3,6,12,15,29,38,75,150,294,1,3,6,8,16,25,43,79	1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
0,4,1,3,7,14,14,17,34,63,116	4,1,2,3,3,2,2,3,3,3,3	4,1,3,7,14,14,17,34,63,116,216	0,1,1,1,1,1,1,1,1,1,1
0,1,4,11,26,34,79,191	3,3,3,3,2,3,3,3	1,4,11,26,34,79,191,458	1,1,1,1,1,1,1,1
0,3,5,13,32,1,3,6,14,33,71,1,3,5,10,19,21,33,63,116,11,18,38,64,2,3,5,7,10,15,18,31,36	4,2,3,3,1,3,3,3,3,3,1,3,3,3,3,2,3,3,3,1,3,3,3,1,3,3,3,3,3,3,3,3,3	3,5,13,32,1,3,6,14,33,71,1,3,5,10,19,21,33,63,116,11,18,38,64,2,3,5,7,10,15,18,31,36,50	1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1
0,2,5,12,30,76,198	4,3,3,3,3,3,3	2,5,12,30,76,198,472	1,1,1,1,1,1,1
0,2,4,12,15,34,67,163	4,3,3,2,3,3,3,3	2,4,12,15,34,67,163,383	1,1,1,1,1,1,1,1
0,1,3,5,13,33,66,133	3,3,3,3,3,3,3,3	1,3,5,13,33,66,133,324	1,1,1,1,1,1,1,1
0,3,9,23,25,1,4,5,7,15,23,35,73	3,3,3,2,1,3,3,3,3,3,3,3,3	3,9,23,25,1,4,5,7,15,23,35,73,162	1,1,1,0,1,1,1,1,1,1,1,1,1
0,1,2,3,5,7,15,18,24,40,68,138	3,3,2,3,2,3,2,3,3,3,3,3	1,2,3,5,7,15,18,24,40,68,138,296	1,1,1,1,1,1,1,1,1,1,1,1
0,2,5,6,9,12,27,47,76,153	4,3,2,2,2,3,3,3,3,3	2,5,6,9,12,27,47,76,153,299	1,1,1,1,1,1,1,1,1,1
0,2,4,8,10,10,21,35,60,134	4,3,3,2,2,3,3,3,3,3	2,4,8,10,10,21,35,60,134,302	1,1,1,1,1,1,1,1,1,1
0,3,8,23,28,51,94,222	3,3,3,2,3,3,3,2	3,8,23,28,51,94,222,299	1,1,1,1,1,1,1,1
0,2,4,9,20,20,23,41,66,130	4,2,3,3,2,2,3,3,3,3	2,4,9,20,20,23,41,66,130,279	1,1,1,1,1,1,1,1,1,1
0,4,11,27,51,99,240	4,3,3,3,3,3,2	4,11,27,51,99,240,349	1,1,1,1,1,1,1
0,4,9,22,46,85	4,3,3,3,3,3	4,9,22,46,85,213	1,1,1,1,1,1
0,4,9,24,25,49,88	4,3,3,2,3,3,3	4,9,24,25,49,88,210	1,1,1,1,1,1,1
0,4,6,16,18,33,57,120,256	4,2,3,2,3,3,3,3,2	4,6,16,18,33,57,120,256,305	1,1,1,1,1,1,1,1,1
0,2,4,12,12,16,29,55,98,205	4,3,3,2,2,3,3,3,3,2	2,4,12,12,16,29,55,98,205,285	1,1,1,1,1,1,1,1,1,1
0,3,7,19,25,23,43,71	4,3,3,2,2,3,3,3	3,7,19,25,23,43,71,156	1,1,1,1,1,1,1,1
0,2,4,5,12,29,54,104	4,3,2,3,3,3,3,3	2,4,5,12,29,54,104,240	1,1,1,1,1,1,1,1
0,4,12,26,30,59,109	4,3,3,2,3,3,3	4,12,26,30,59,109,261	1,1,1,1,1,1,1
0,2,6,16,20,40,70,167	4,3,3,2,3,3,3,3	2,6,16,20,40,70,167,388	1,1,1,1,1,1,1,1
0,4,12,31,57,117	4,3,3,3,3,3	4,12,31,57,117,306	1,1,1,1,1,1
0,4,11,30,63,126	4,3,3,3,3,3	4,11,30,63,126,306	1,1,1,1,1,1
0,4,10,24,26,44,85	4,3,3,2,3,3,3	4,10,24,26,44,85,197	1,1,1,1,1,1,1
0,3,6,14,14,17,36,79,165	4,3,3,2,2,3,3,3,3	3,6,14,14,17,36,79,165,359	1,1,1,1,1,1,1,1,1
0,4,12,1,1,4,6,7,8,13,22,38,1,3,5,10,14,23,38,63,101,323,32	4,3,1,3,3,2,2,2,3,3,3,1,3,3,3,3,3,3,3,3,3,1,3	4,12,1,1,4,6,7,8,13,22,38,1,3,5,10,14,23,38,63,101,323,32,60	1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1
0,3,5,5,11,15,17,31,40,74,1,3,5,1,2,4,6,8,11,14,1,3,1,3,5,9,10,15,21,30,74,117	4,3,2,3,2,2,3,2,3,1,3,3,1,2,3,3,3,3,3,1,3,1,3,3,3,3,3,3,3,3,3,3	3,5,5,11,15,17,31,40,74,1,3,5,1,2,4,6,8,11,14,1,3,1,3,5,9,10,15,21,30,74,117,183	1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1
0,1,3,3,5,5,6,8,15,38,71,133	3,4,2,2,2,2,3,3,4,3,3,3	1,3,3,5,5,6,8,15,38,71,133,256	1,1,1,1,1,1,1,1,1,1,1,1
0,3,4,6,5,7,14,36,70,136	4,2,2,2,2,3,4,3,3,3	3,4,6,5,7,14,36,70,136,281	1,1,1,1,1,1,1,1,1,1
0,1,2,4,4,6,7,13,23,38,42,64,104	3,2,2,2,2,2,3,3,3,2,3,3,4	1,2,4,4,6,7,13,23,38,42,64,104,223	1,1,1,1,1,1,1,1,1,1,1,1,1
0,1,1,2,4,5,5,5,7,15,25,46,84	4,3,2,2,2,2,2,3,4,3,3,3,3	1,1,2,4,5,5,5,7,15,25,46,84,165	1,1,1,1,1,1,1,1,1,1,1,1,1
0,1,1,2,3,5,6,7,10,16,27,28,46,76,119,400,7,8,9,12	4,3,2,2,2,2,2,3,3,3,2,3,3,3,3,1,3,3,3,3	1,1,2,3,5,6,7,10,16,27,28,46,76,119,400,7,8,9,12,14	1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
0,5,6,7,7,16,30,35,1,3,5,9,17,29,51,90,156	4,2,2,2,3,3,2,1,3,3,3,3,3,3,3,3,3	5,6,7,7,16,30,35,1,3,5,9,17,29,51,90,156,309	1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
0,3,5,7,9,18,37,78,154	4,2,2,2,3,3,3,3,3	3,5,7,9,18,37,78,154,316	1,1,1,1,1,1,1,1,1
0,5,5,7,8,17,36,74,154	4,2,2,2,3,3,3,3,3	5,5,7,8,17,36,74,154,303	1,1,1,1,1,1,1,1,1
0,1,1,3,5,7,10,21,24,40,72,126	4,3,2,2,2,2,3,2,3,3,3,3	1,1,3,5,7,10,21,24,40,72,126,233	1,1,1,1,1,1,1,1,1,1,1,1
0,1,1,2,4,4,4,4,5,9,15,22,34,38,52,79,114	4,3,2,2,2,2,2,2,3,3,3,3,2,3,3,3,2	1,1,2,4,4,4,4,5,9,15,22,34,38,52,79,114,167	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,1,1,2,3,5,5,7,14,24,42,71,121	4,3,2,2,2,2,2,3,3,3,3,3,3	1,1,2,3,5,5,7,14,24,42,71,121,202	1,1,1,1,1,1,1,1,1,1,1,1,1
0,5,7,9,9,16,30,60,117	4,2,2,2,3,3,3,3,3	5,7,9,9,16,30,60,117,233	1,1,1,1,1,1,1,1,1
0,3,3,3,3,5,5,7,13,20,36,64,115	4,2,2,2,2,2,3,3,3,3,3,3,3	3,3,3,3,5,5,7,13,20,36,64,115,204	1,1,1,1,1,1,1,1,1,1,1,1,1
0,4,4,6,5,6,13,33,63,134	4,2,2,2,2,3,4,3,3,3	4,4,6,5,6,13,33,63,134,281	1,1,1,1,1,1,1,1,1,1
