t_history	r_history	delta_ts	ys
0,1,2,1,1,1,2,4,9,9,7,14,25,1,1,2,3,5,2,2,2,3,6,8,13,18,25,39,59	1,3,2,2,2,3,3,3,2,2,3,3,1,3,3,3,3,1,1,2,3,3,3,3,3,3,3,3,2	1,2,1,1,1,2,4,9,9,7,14,25,1,1,2,3,5,2,2,2,3,6,8,13,18,25,39,59,48	1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1
0,1,2,5,15,37,3,9,20,49	1,1,3,3,3,1,3,3,3,3	1,2,5,15,37,3,9,20,49,129	0,1,1,1,0,1,1,1,1,1
0,2,2,6,2,6,16,46,40,102	1,3,3,1,3,3,3,2,3,2	2,2,6,2,6,16,46,40,102,83	1,1,0,1,1,1,1,1,1,1
0,1,3,5,16,48	3,3,3,3,3,3	1,3,5,16,48,142	1,1,1,1,1,1
0,1,2,7,20,56	3,3,3,3,3,3	1,2,7,20,56,173	1,1,1,1,1,1
0,1,4,14,44,4,10,26,1,4,9,20,46,4,8,21	3,3,3,3,1,3,3,1,3,3,3,3,1,3,3,3	1,4,14,44,4,10,26,1,4,9,20,46,4,8,21,46	1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1
0,1,3,8,2,4,11,9,7,17,45	1,3,3,1,3,3,2,2,3,3,3	1,3,8,2,4,11,9,7,17,45,108	1,1,0,1,1,1,1,1,1,1,1
0,1,2,5,16,49	3,3,3,3,3,3	1,2,5,16,49,149	1,1,1,1,1,1
0,2,3,9,26,80	1,3,3,3,3,3	2,3,9,26,80,233	1,1,1,1,1,1
0,1,3,11,33	3,3,3,3,3	1,3,11,33,97	1,1,1,1,1
0,1,3,11,33,29,81,1,9,6,2,3,2,3,6,11,3,6,7,13,23,20,35	3,3,3,3,2,3,1,3,2,1,3,1,3,3,3,1,3,3,3,3,2,3,3	1,3,11,33,29,81,1,9,6,2,3,2,3,6,11,3,6,7,13,23,20,35,48	1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1
0,3,10,31	4,3,3,3	3,10,31,97	1,1,1,1
0,3,7,18,55,5,2,5,7,1,3,7,10,30,71,9,16,17,32	3,3,3,3,1,1,3,2,1,3,3,3,4,3,1,3,2,3,3	3,7,18,55,5,2,5,7,1,3,7,10,30,71,9,16,17,32,48	1,1,1,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1
0,1,4,14,46	3,3,3,3,3	1,4,14,46,143	1,1,1,1,1
0,1,3,11,3,6,14,40,112,13,31	3,3,3,1,3,3,3,3,1,3,3	1,3,11,3,6,14,40,112,13,31,76	1,1,0,1,1,1,1,0,1,1,1
0,5,16,52,5,1,1,1,3,6,17,3,7,11,25,56	4,3,3,1,1,1,2,3,3,3,1,3,3,3,3,3	5,16,52,5,1,1,1,3,6,17,3,7,11,25,56,115	1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1
0,1,2,2,1,3,2,2,5,9,18,2,3,5,10,20,40,4,7,12,21,38,28,45,38,2,1,3,3,4,6,6,11,1,3	1,3,1,2,3,2,1,3,3,3,1,3,3,3,3,3,1,3,3,3,3,2,3,2,1,1,3,3,3,3,3,3,1,3,3	1,2,2,1,3,2,2,5,9,18,2,3,5,10,20,40,4,7,12,21,38,28,45,38,2,1,3,3,4,6,6,11,1,3,6	1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1
0,1,4,13,39,3,10,29,5,6,3,5,10,20,17,12,26,45	3,3,3,3,1,3,3,1,3,1,3,3,3,2,2,3,3,3	1,4,13,39,3,10,29,5,6,3,5,10,20,17,12,26,45,69	1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1
0,1,3,8,27,6,11,23,66,6,2,5,13,32	1,3,3,3,1,3,3,3,1,1,3,3,3,3	1,3,8,27,6,11,23,66,6,2,5,13,32,70	1,1,1,0,1,1,1,0,0,1,1,1,1,1
0,1,3,7,22,68,8,2,7,4,1,3,3,8,16,2,2,3,6,11,9,14,4,7,9,2,4,7,8,13,22,31	1,3,3,3,3,1,1,3,1,2,3,3,3,3,1,3,3,3,3,2,3,1,3,3,1,3,3,3,3,3,3,3	1,3,7,22,68,8,2,7,4,1,3,3,8,16,2,2,3,6,11,9,14,4,7,9,2,4,7,8,13,22,31,35	1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1
0,1,2,5,16,2,2,2,5,12,10,22,46,5,8,18,35	1,3,3,3,1,1,1,3,3,2,3,3,1,3,3,3,3	1,2,5,16,2,2,2,5,12,10,22,46,5,8,18,35,66	1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1
0,1,3,7,23,73,227,4	3,3,3,3,3,3,1,3	1,3,7,23,73,227,4,11	1,1,1,1,1,0,1,1
0,1,4,10,31,97,9,23,60,7,17	3,3,3,3,3,1,3,3,1,3,3	1,4,10,31,97,9,23,60,7,17,42	1,1,1,1,0,1,1,0,1,1,1
0,1,3,7,22,17,44,33	3,3,3,3,2,3,2,3	1,3,7,22,17,44,33,89	1,1,1,1,1,1,1,1
0,1,2,7,2,6,14,35	1,1,3,1,3,3,3,3	1,2,7,2,6,14,35,92	0,1,0,1,1,1,1,1
0,5,16,52	4,3,3,3	5,16,52,159	1,1,1,1
0,1,4,13,43,4,11,34	3,3,3,3,1,3,3,3	1,4,13,43,4,11,34,93	1,1,1,0,1,1,1,1
0,1,3,7,20	1,3,3,3,3	1,3,7,20,63	1,1,1,1,1
0,1,2,5,14,40,2,1,2,4,2,2,4,6,17,4,6,10,1,2,3,4,4,2,2,3,4,5,7,2,2,5,5,7,10,20	1,3,3,3,3,1,1,3,3,1,1,3,3,3,1,3,3,1,2,3,3,2,1,3,3,3,3,3,1,1,3,3,3,3,3,3	1,2,5,14,40,2,1,2,4,2,2,4,6,17,4,6,10,1,2,3,4,4,2,2,3,4,5,7,2,2,5,5,7,10,20,28	1,1,1,1,0,0,1,1,0,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1
0,4,12,37	4,3,3,3	4,12,37,108	1,1,1,1
0,1,4,13,40	1,3,3,3,3	1,4,13,40,128	1,1,1,1,1
0,1,3,11,2,4,9,27,2,6,15,37,3,2,3,6,8,15,2,4,7,11,23,35,32	1,3,3,1,3,3,3,1,3,3,3,1,1,3,3,3,3,1,3,3,3,3,3,2,3	1,3,11,2,4,9,27,2,6,15,37,3,2,3,6,8,15,2,4,7,11,23,35,32,49	1,1,0,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1
0,1,4,12,35	3,3,3,3,3	1,4,12,35,110	1,1,1,1,1
0,1,3,7,22,2,10,12,28,72,2,4,3,3,3,5,13,3,6,8,11,3,4,5,6,8,9,17,26	1,3,3,3,1,3,3,3,3,1,3,2,1,3,3,3,1,3,3,3,1,3,3,3,3,3,3,3,3	1,3,7,22,2,10,12,28,72,2,4,3,3,3,5,13,3,6,8,11,3,4,5,6,8,9,17,26,36	1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1
0,1,2,5,11,15,30,60	3,2,3,3,3,3,3,3	1,2,5,11,15,30,60,127	1,1,1,1,1,1,1,1
0,1,3,5,1,3,4,6,11,13,22,41,1,3,8,13,25,42	3,3,3,1,3,2,3,3,3,3,3,1,3,3,3,3,3,3	1,3,5,1,3,4,6,11,13,22,41,1,3,8,13,25,42,68	1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
0,1,3,5,10,15,30,71	3,3,3,3,3,3,3,3	1,3,5,10,15,30,71,157	1,1,1,1,1,1,1,1
0,1,3,5,10,14,28,60	3,3,3,3,3,3,3,3	1,3,5,10,14,28,60,142	1,1,1,1,1,1,1,1
0,1,3,7,16,40	3,3,3,3,3,3	1,3,7,16,40,94	1,1,1,1,1,1
0,1,3,7,16,6,21,44,84	3,3,3,3,3,2,3,3,3	1,3,7,16,6,21,44,84,175	1,1,1,1,1,1,1,1,1
0,1,3,5,10,23,52	3,3,3,3,3,3,3	1,3,5,10,23,52,118	1,1,1,1,1,1,1
0,1,3,6,12,10,1,3,6,11,20,35,1,3,8,11,15,26,47	3,3,3,3,2,1,3,3,3,3,3,1,3,3,3,3,3,3,3	1,3,6,12,10,1,3,6,11,20,35,1,3,8,11,15,26,47,76	1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1
0,1,3,6,13,12,28,67	1,3,3,3,3,3,3,3	1,3,6,13,12,28,67,145	1,1,1,1,1,1,1,1
0,1,3,5,13,13,26,61	3,3,3,3,3,3,3,3	1,3,5,13,13,26,61,130	1,1,1,1,1,1,1,1
0,1,3,7,13,26,62,141,1,3,7,13,23	3,3,3,3,3,3,3,1,3,3,3,3,3	1,3,7,13,26,62,141,1,3,7,13,23,48	1,1,1,1,1,1,0,1,1,1,1,1,1
0,1,2,4,9,18,1,41,82	3,2,3,3,3,3,3,3,3	1,2,4,9,18,1,41,82,175	1,1,1,1,1,1,1,1,1
0,1,3,6,15,9,18,38,83	3,3,3,3,2,3,3,3,3	1,3,6,15,9,18,38,83,177	1,1,1,1,1,1,1,1,1
0,1,3,5,12,13,1,3,5,8,15,30,58,1,3,7,11,20,1,3,4,8,11,15,24,36	3,3,3,3,2,1,3,3,3,3,3,3,1,3,3,3,3,1,3,3,3,3,3,3,3,3	1,3,5,12,13,1,3,5,8,15,30,58,1,3,7,11,20,1,3,4,8,11,15,24,36,53	1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1
0,3,8,16,8,21,55,70,1,4,10,21,45	4,3,3,3,2,4,2,1,4,3,3,3,3	3,8,16,8,21,55,70,1,4,10,21,45,93	1,1,1,1,1,1,0,1,1,1,1,1,1
0,1,3,5,10,14,28,60	3,3,3,3,3,3,3,3	1,3,5,10,14,28,60,134	1,1,1,1,1,1,1,1
0,1,3,5,11,14,28,64	3,3,3,3,3,3,3,3	1,3,5,11,14,28,64,148	1,1,1,1,1,1,1,1
0,1,3,6,12,13,26,58	3,3,3,3,3,3,3,3	1,3,6,12,13,26,58,131	1,1,1,1,1,1,1,1
0,1,3,6,15,1,3,5,10,18,34,69	1,3,3,3,1,3,3,3,3,3,3,3	1,3,6,15,1,3,5,10,18,34,69,144	1,1,1,0,1,1,1,1,1,1,1,1
0,1,3,6,13,12,15,32,65	2,3,3,3,3,2,3,3,3	1,3,6,13,12,15,32,65,133	1,1,1,1,1,1,1,1,1
